kode,navn,definition,kommentar,virkningFra,virkningTil
"110","Stuehus til landbrugsejendom","","","2025-01-01",""
"120","Fritliggende enfamiliehus","","","2025-01-01",""
"121","Sammenbygget enfamiliehus","","","2025-01-01",""
"122","Fritliggende enfamiliehus i tæt-lav bebyggelse","","","2025-01-01",""
"130","(UDFASES) Række-, kæde-, eller dobbelthus (lodret adskillelse mellem enhederne).","","","2025-01-01",""
"131","Række-, kæde- og klyngehus","","","2025-01-01",""
"132","Dobbelthus","","","2025-01-01",""
"140","Etagebolig-bygning, flerfamiliehus eller to-familiehus","","","2025-01-01",""
"150","Kollegium","","","2025-01-01",""
"160","Boligbygning til døgninstitution","","","2025-01-01",""
"185","Anneks i tilknytning til helårsbolig.","","","2025-01-01",""
"190","Anden bygning til helårsbeboelse","","","2025-01-01",""
"210","(UDFASES) Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o. lign","","","2025-01-01",""
"211","Stald til svin","","","2025-01-01",""
"212","Stald til kvæg, får mv.","","","2025-01-01",""
"213","Stald til fjerkræ","","","2025-01-01",""
"214","Minkhal","","","2025-01-01",""
"215","Væksthus","","","2025-01-01",""
"216","Lade til foder, afgrøder mv.","","","2025-01-01",""
"217","Maskinhus, garage mv.","","","2025-01-01",""
"218","Lade til halm, hø mv.","","","2025-01-01",""
"219","Anden bygning til landbrug mv.","","","2025-01-01",""
"220","(UDFASES) Bygning til erhvervsmæssig produktion vedrørende industri, håndværk m.v. (fabrik, værksted o.lign.)","","","2025-01-01",""
"221","Bygning til industri med integreret produktionsapparat","","","2025-01-01",""
"222","Bygning til industri uden integreret produktionsapparat","","","2025-01-01",""
"223","Værksted","","","2025-01-01",""
"229","Anden bygning til produktion","","","2025-01-01",""
"230","(UDFASES) El-, gas-, vand- eller varmeværk, forbrændingsanstalt m.v.","","","2025-01-01",""
"231","Bygning til energiproduktion","","","2025-01-01",""
"232","Bygning til energidistribution","","","2025-01-01",""
"233","Bygning til vandforsyning","","","2025-01-01",""
"234","Bygning til håndtering af affald og spildevand","","","2025-01-01",""
"239","Anden bygning til energiproduktion og forsyning","","","2025-01-01",""
"290","(UDFASES) Anden bygning til landbrug, industri etc.","","","2025-01-01",""
"310","(UDFASES) Transport- og garageanlæg (fragtmandshal, lufthavnsbygning, banegårdsbygning, parkeringshus). Garage med plads til et eller to køretøjer registreres med anvendelseskode 910","","","2025-01-01",""
"311","Bygning til jernbane- og busdrift","","","2025-01-01",""
"312","Bygning til luftfart","","","2025-01-01",""
"313","Bygning til parkering- og transportanlæg","","","2025-01-01",""
"314","Bygning til parkering af flere end to køretøjer i tilknytning til boliger","","","2025-01-01",""
"315","Havneanlæg","","","2025-01-01",""
"319","Andet transportanlæg","","","2025-01-01",""
"320","(UDFASES) Bygning til kontor, handel, lager, herunder offentlig administration","","","2025-01-01",""
"321","Bygning til kontor","","","2025-01-01",""
"322","Bygning til detailhandel","","","2025-01-01",""
"323","Bygning til lager","","","2025-01-01",""
"324","Butikscenter","","","2025-01-01",""
"325","Tankstation","","","2025-01-01",""
"329","Anden bygning til kontor, handel og lager","","","2025-01-01",""
"330","(UDFASES) Bygning til hotel, restaurant, vaskeri, frisør og anden servicevirksomhed","","","2025-01-01",""
"331","Hotel, kro eller konferencecenter med overnatning","","","2025-01-01",""
"332","Bed & breakfast mv.","","","2025-01-01",""
"333","Restaurant, café og konferencecenter uden overnatning","","","2025-01-01",""
"334","Privat servicevirksomhed som frisør, vaskeri, netcafé mv.","","","2025-01-01",""
"339","Anden bygning til serviceerhverv","","","2025-01-01",""
"390","(UDFASES) Anden bygning til transport, handel etc","","","2025-01-01",""
"410","(UDFASES) Bygning til biograf, teater, erhvervsmæssig udstilling, bibliotek, museum, kirke o. lign.","","","2025-01-01",""
"411","Biograf, teater, koncertsted mv.","","","2025-01-01",""
"412","Museum","","","2025-01-01",""
"413","Bibliotek","","","2025-01-01",""
"414","Kirke eller anden bygning til trosudøvelse for statsanerkendte trossamfund","","","2025-01-01",""
"415","Forsamlingshus","","","2025-01-01",""
"416","Forlystelsespark","","","2025-01-01",""
"419","Anden bygning til kulturelle formål","","","2025-01-01",""
"420","(UDFASES) Bygning til undervisning og forskning (skole, gymnasium, forskningslabratorium o.lign.).","","","2025-01-01",""
"421","Grundskole","","","2025-01-01",""
"422","Universitet","","","2025-01-01",""
"429","Anden bygning til undervisning og forskning","","","2025-01-01",""
"430","(UDFASES) Bygning til hospital, sygehjem, fødeklinik o. lign.","","","2025-01-01",""
"431","Hospital og sygehus","","","2025-01-01",""
"432","Hospice, behandlingshjem mv.","","","2025-01-01",""
"433","Sundhedscenter, lægehus, fødeklinik mv.","","","2025-01-01",""
"439","Anden bygning til sundhedsformål","","","2025-01-01",""
"440","(UDFASES) Bygning til daginstitution","","","2025-01-01",""
"441","Daginstitution","","","2025-01-01",""
"442","Servicefunktion på døgninstitution","","","2025-01-01",""
"443","Kaserne","","","2025-01-01",""
"444","Fængsel, arresthus mv.","","","2025-01-01",""
"449","Anden bygning til institutionsformål","","","2025-01-01",""
"451","Beskyttelsesrum","","","2025-01-01",""
"490","(UDFASES) Bygning til anden institution, herunder kaserne, fængsel o. lign.","","","2025-01-01",""
"510","Sommerhus","","","2025-01-01",""
"520","(UDFASES) Bygning til feriekoloni, vandrehjem o.lign. bortset fra sommerhus","","","2025-01-01",""
"521","Feriecenter, center til campingplads mv.","","","2025-01-01",""
"522","Bygning med ferielejligheder til erhvervsmæssig udlejning","","","2025-01-01",""
"523","Bygning med ferielejligheder til eget brug","","","2025-01-01",""
"529","Anden bygning til ferieformål","","","2025-01-01",""
