kode,navn,definition,kommentar,virkningFra,virkningTil
"0","Navngiven vej","","","2015-10-01",""
"1","Navngivenvej kommunedel","","","2015-10-01",""
"2","Adresse","","","2015-10-01",""
"3","Husnummer","","","2015-10-01",""
"4","Postnummer","","","2015-10-01",""
"5","Supplerende bynavn","","","2015-10-01",""
"6","Husnummerreservation","","","2015-10-01",""
"7","Vejnavn reservation","","","2015-10-01",""
"8","Adresseopgave","","","2015-10-01",""
"9","Adresseopgavegenstand","","","2015-10-01",""
"10","DAGI Kommune","","","2015-10-01",""
"11","DAGI Sogneinddeling","","","2015-10-01",""
"12","DAGI Postnummer","","","2015-10-01",""
"13","DAGI Afstemningsområde","","","2015-10-01",""
"14","DAGI Meninghedsrådsafstemningsområde","","","2015-10-01",""
"15","DAGI Supplerende bynavn","","","2015-10-01",""
"16","BBR Bygning","","","2015-10-01",""
"17","BBR Tekniskanlæg","","","2015-10-01",""
"18","MU Jordstykke","","","2015-10-01",""
"19","GeoDanmark bygning","","","2015-10-01",""
"20","GeoDanmark vejmidte","","","2015-10-01",""
"NavngivenVej","Navngiven vej","","","2015-10-01",""
