kode,navn,definition,kommentar,virkningFra,virkningTil
"UF","Adgangspunkt uspecificeret eller foreløbigt placeret","","","2015-10-01",""
"TN","Adgangspunkt inden for bygningsomrids","","","2015-10-01",""
"TK","Adgangspunkt ved bygningsfacade mod vej","","","2015-10-01",""
"TD","Adgangspunkt ved indgangsdør til bygning","","","2015-10-01",""
"TA","Adgangspunkt til anlæg – uden bygning","","","2015-10-01",""
"VU","Vejpunkt er uspecificeret eller ukendt","","","2015-10-01",""
"VN","Vejpunkt i vejtilslutningspunkt","","","2015-10-01",""
"V0","Vejpunkt på vej med korrekt vejkode. Stor sikkerhed for korrekt vejpunkt","","","2015-10-01",""
"V1","Vejpunkt på vej med korrekt vejkode. Adgang til adgangspunkt via indkørselsvej eller sti","","","2015-10-01",""
"V2","Vejpunkt på vej med korrekt vejkode. Risiko for at skulle krydse stier","","","2015-10-01",""
"V3","Vejpunkt på vej med korrekt vejkode. Risiko for at skulle krydse andre veje","","","2015-10-01",""
"V4","Vejpunkt på vej med korrekt vejkode. Risiko for at skulle krydse et enkelt teknisk anlæg eller trafikhegn","","","2015-10-01",""
"V5","Vejpunkt på vej med korrekt vejkode. Risiko for at skulle krydse et større antal bygninger eller jordstykker. Risiko for at skulle krydse fysiske forhindringer","","","2015-10-01",""
"V6","Vejpunkt på mindre indkørselsvej med korrekt vejkode. Risiko for at skulle krydse fysiske forhindringer","","","2015-10-01",""
"V7","Vejpunkt på vej med forkert vejkode, men på samme matrikelnummer. Risiko for at skulle krydse fysiske forhindringer","","","2015-10-01",""
"V8","Vejpunkt på sti med korrekt vejkode. Risiko for at skulle krydse fysiske forhindringer","","","2015-10-01",""
"V9","Vejpunkt på vej eller indkørselsvej med forkert kommunekode eller vejkode. Risiko for at skulle krydse fysiske forhindringer","","","2015-10-01",""
"VX","Vejpunkt på vej. Stor usikkerhed om korrekthed","","","2015-10-01",""
"DP","Dørpunkt placeret principielt korrekt","","","2015-10-01",""
"DE","Dørpunkt placeret ud fra etageplan","","","2015-10-01",""
"DM","Dørpunkt målt på stedet","","","2015-10-01",""
"NO","Vejnavnebeliggenhed omskriver adresser, GeoDanmark vejmidter eller er konstrueret","","","2015-10-01",""
"N0","Vejnavnebeliggenhed omskriver adresser, GeoDanmark vejmidter eller er kontrueret","","Kan forekomme for historiske Navngivenvej","2015-10-01",""
"NU","Vejnavnebeliggenhed omskriver adresser, GeoDanmark vejmidter eller er konstrueret","","Kan forekomme for historiske Navngivenvej","2015-10-01",""
