kode,navn,definition,kommentar,virkningFra,virkningTil
"AjourføreDarSystem","Adressemyndigheden","","","2015-10-01",""
"AjourføreAdgangspunkt","Grunddataregister (Matriklen)","","","2015-10-01",""
"AjourføreAdresserEnheder","Grunddataregister (BBR)","","","2015-10-01",""
"AjourføreGadepostnummer","Gadepostnummerklient","","","2015-10-01",""
"AjourføreDialog","Borger eller virksomhed (Brugeraktør)","","","2015-10-01",""
"AjourføreFejlmelding","Eksternt indberetningssystem","","","2015-10-01",""
"AjourføreDagiTilknytning","Grunddataregister (DAGI)","","","2015-10-01",""
"AjourføreGeoDKTilknytning","Grunddataregister (GeoDK)","","","2015-10-01",""
"AjourføreByOgVej","Adressemyndighed med fokus på veje og byer","","","2015-10-01",""
"AjourføreRetskrivningskontrol","Retskrivningkontrollør for vejnavne","","","2015-10-01",""
"AjourføreMuTilknytning","Grunddataregister (Matriklen)","","","2015-10-01",""
"AjourføreBBRTilknytning","Grunddataregister (BBR)","","","2015-10-01",""
"Konvertering2017SDFE","Konverteret i fbm DAR1.0","","","2015-10-01",""
"DARTransition","Transition i fbm DAR1.0","","","2015-10-01",""
"DAR korrektion","DAR korrektion","","","2015-10-01",""
"Konvertering2017","Konvertering2017","","","2015-10-01",""
