kode,navn,definition,kommentar,virkningFra,virkningTil
"Danmark","Danmark","kortet viser Danmark eller en del af Danmark","","2025-07-01",""
"Norge","Norge","kortet viser Norge eller en del af Norge","","2025-07-01",""
"Sverige","Sverige","kortet viser Sverige eller en del af Sverige","","2025-07-01",""
"Færøerne","Færøerne","kortet viser Færøerne eller en del af Færøerne","","2025-07-01",""
"Grønland","Grønland","kortet viser Grønland eller en del af Grønland","","2025-07-01",""
"Holsten-Lauenborg","Holsten-Lauenborg","kortet viser hertugdømmerne Holsten og Lauenborg eller en del af dem","","2025-07-01",""
"Island","Island","kortet viser Island eller en del af Island","","2025-07-01",""
"Slesvig","Slesvig","kortet viser hertugdømmet Slesvig eller en del af det","","2025-07-01",""
"Sønderjylland","Sønderjylland","kortet viser Sønderjylland eller en del af Sønderjylland","","2025-07-01",""
"Trankebar","Trankebar","kortet viser den tidligere danske koloni Trankebar","","2025-07-01",""
"Ven","Ven","kortet viser den tidligere danske øresundsø Ven","","2025-07-01",""
"Vestindien","Vestindien","kortet viser de tidligere danske kolonier i Vestindien","","2025-07-01",""
"Oversøisk","Oversøisk","kortet viser havområder uden for de danske farvande","","2025-07-01",""
"Andre","Andre","kortet viser andet end kongeriget Danmark og dettes tidligere besiddelser","","2025-07-01",""
"Intet","Intet","kortet viser ikke et virkeligt geografisk sted","I gamle dage når en ny type kort skulle oprettes, kaldtes dette ”eventyrkort” eller prøvekort","2025-07-01",""
