kode,navn,definition,kommentar,virkningFra,virkningTil
"Centimeterkort","Centimeterkort","topografiske kort over Danmark der viser naturlige og menneskeskabte landskabselementer. Kortene er udgivet i perioden fra 1957 til 2002. Trykte masseproducerede kort. Korttypen er erstattet af kort som bliver distribueret via web-tjenester","navnet hentyder til kortenes skala, fx er 4-cm kort er i målestokken 1:25.000 og 1-cm kort i målestokken 1:100.000. Kortværket er producet på baggrund af en fotogrametrisk udtegning af ortofotos","2025-07-01",""
"Flyfotos","Flyfotos","ældre fotografier optaget fra fly med det formål at kortlægge landjorden","historiske flyfoto dækker Grønland, Færøerne og Danmark optaget fra 1940 og frem. Historiske flyfoto kan være optaget som lodfoto, panorama og skråfoto","2025-07-01",""
"Færøske Topografiske kort","Færøske Topografiske kort","ældre topografiske kort over Færøerne der viser væsentlige naturlige og menneskeskabte landskabselementer. Desuden viser kortene administrative inddelinger. Trykte masseproducerede kort","","2025-07-01",""
"Grønlandske Topografiske kort","Grønlandske Topografiske kort","ældre topografiske kort over Grønland der viser væsentlige naturlige og menneskeskabte landskabselementer. Desuden viser kortene administrative inddelinger. Trykte masseproducerede kort","","2025-07-01",""
"Matrikelkort","Matrikelkort","ældre matrikelkort der viser den matrikulære inddeling indenfor et ejerlav","matrikelkortene blev opdateret når der skete matrikulære ændringer. Der er tale om håndtegnede kort","2025-07-01",""
"Målebordsblade","Målebordsblade","ældre topografiske kort over Danmark eller dele af Danmark der viser naturlige og menneskeskabte landskabselementer","gruppen omfatter mange mindre serier, der er produceret til specialiserede formål og navnet henviser til kortenes produktionsmåde. Kortene er opmålt i marken ved hjælp af et målebord. Gruppen omfatter mange mindre serier","2025-07-01",""
"Søkort","Søkort","ældre søkort skabt analogt og senere skannet. Må ikke længere anvendes til at navigere efter","kortene viser alle slags elementer der kan have interesse for søfarten, såsom dybdeforhold, pejlemærker, fyr, bøjer og topografiske elementer på land der har hjulpet med landkendingen. Desuden findes der detaljerede havnekort. Søkortenes dækningsområder har hovedvægt på de danske farvande, men der findes søkort i samlingen der dækker hele verden. Kortene er produceret af søværnet samt SDFE, GSTs og KMS' forgængere i Søkortarkivet. Kortene kan både være håndtegnede, trykte og trykte med håndindtegnede opdateringer","2025-07-01",""
"Tematiske Kort","Tematiske Kort","ældre skannede kort med temaer","temaerne kan fx være jordbund, arkæologiske fund eller administrative grænser som sognegrænser, kommunegrænser eller landegrænser","2025-07-01",""
"Ældre Topografiske Kort","Ældre Topografiske Kort","ældre topografiske kort skabt analogt og senere skannet","","2025-07-01",""
"Økonomiske kort","Økonomiske kort","ældre kort produceret til matrikuleringen eller udskiftningen. Kortene er generelt ikke opdateret med matrikulære ændringer. Gruppen omfatter mange mindre og større serier","landøkonomiske kort er detaljerede kort, der viser jordens kvalitet, anvendelse og øvrige landøkonomiske forhold i et bestemt område. De er primært blevet anvendt til vurdering af landbrugsejendomme, planlægning af landbrugsdrift og administration af landbrugsarealer","2025-07-01",""
