kode,navn,definition,kommentar,virkningFra,virkningTil
"historisk","historisk","tidligere skrivemåde, der muligvis stadig er i brug i befolkningen","","2017-08-01",""
"iAnvendelse","i anvendelse","stednavnet er i brug i befolkningen","","2017-08-01",""
"Offentlig vej","Offentlig vej","angiver at arealtypen er offentlig vej","","2017-08-01",""
"Privat vej","Privat vej","angiver at arealtypen er privat vej","","2017-08-01",""
"Jernbane","Jernbane","angiver at arealtypen er jernbane","","2017-08-01",""
"Kirke","Kirke","angiver at arealtypen er kirke","","2017-08-01",""
"Kirkegård","Kirkegård","angiver at arealtypen er kirkegård","","2017-08-01",""
"Byens gade","Byens gade","angiver at arealtypen er byens gade","","2017-08-01",""
"Fælles grusgrav","Fælles grusgrav","angiver at arealtypen er fælles grusgrav","","2017-08-01",""
"Dige eller dæmning","Dige eller dæmning","angiver at arealtypen er dige eller dæmning","","2017-08-01",""
"Fælles drift","Fælles drift","angiver at arealtypen er fælles drift","","2017-08-01",""
"Kanal","Kanal","angiver at arealtypen er kanal","","2017-08-01",""
"Strand","Strand","angiver at arealtypen er strand","","2017-08-01",""
"Fælles vanding","Fælles vanding","angiver at arealtypen er fælles vanding","","2017-08-01",""
