kode,navn,definition,kommentar,virkningFra,virkningTil
"Anden sagskategori","Anden sagskategori","Sag af intern karakter","","2017-08-01",""
"Matrikulær sag","Matrikulær sag","Sag, der medfører matrikulære forandringer.","","2017-08-01",""
"Kvalitetsforbedring af matriklen","Kvalitetsforbedring af matriklen","Sag vedr. kvalitetsforbedring af matriklen.","","2017-08-01",""
"Minirenovering","Minirenovering","Sag vedr. forbedring af geometrien ved en minirenovering.","","2017-08-01",""
"Klitfredning","Klitfredning","Sag vedr. registrering af klitfredning.","","2017-08-01",""
"Strandbeskyttelse","Strandbeskyttelse","Sag vedr. registrering af strandbeskyttelse.","","2017-08-01",""
"Fredskov","Fredskov","Sag vedr. registrering af fredskov.","","2017-08-01",""
"Majoratskov","Majoratskov","Sag vedr. registrering af majoratsskov.","","2017-08-01",""
"Stormfald","Stormfald","Sag vedr. stormfaldsnotering.","","2017-08-01",""
"Landbrug","Landbrug","Sag vedr. landbrugsnotering.","","2017-08-01",""
"Arbejderbolig","Arbejderbolig","Sag vedr. notering om arbejderbolig.","","2017-08-01",""
"Jordrente","Jordrente","Sag vedr. registrering af jordrente.","","2017-08-01",""
"Amts- og kommunegrænse","Amts- og kommunegrænse","Sag vedr. registrering af amts- og/eller kommunegrænse.","","2017-08-01","2021-07-12"
"Sognegrænse","Sognegrænse","Sag vedr. registrering af sognegrænse.","","2017-08-01",""
"Jordfordeling","Jordfordeling","Sag som er resultat af kendelsen for en jordfordeling.","","2017-08-01",""
"Ekspropriation","Ekspropriation","Sag som er resultat af kendelsen for en ekspropriation.","","2017-08-01",""
"Tilbageførselssag","Tilbageførselssag","Sag som gennemføres med henblik på at tilbageføre tidligere udførte forandringer.","","2017-08-01",""
"Ejerlejlighedssag","Ejerlejlighedssag","Sag vedr. forandring eller oprettelse af ejerlejligheder.","","2017-08-01",""
"Ikke beskikkelseskrævende ændringssag","Ikke beskikkelseskrævende ændringssag","Sag der kan indsendes til matrikelmyndigheden af andre end en beskikket landinspektør.","","2017-08-01",""
"Bygning på fremmed grund fra kommune","Bygning på fremmed grund fra kommune","Sag vedr. ny eller forandret bygning på fremmed grund – indberettet af kommune.","","2017-08-01",""
"Bygning på fremmed grund fra landinspektør","Bygning på fremmed grund fra landinspektør","Sag vedr. ny eller forandret bygning på fremmed grund – indberettet af landinspektør.","","2017-08-01",""
"Bygning på havet","Bygning på havet","Sag vedrørende bygning på havet, herunder bl.a. vindmøller.","","2017-08-01",""
"Kombinationssag - Ejerlejlighed","Kombinationssag - Ejerlejlighed","Sag, der indeholder forandringer af både samlet fast ejendom og ejerlejlighed samt evt. bygning på fremmed grund.","","2017-08-01",""
"Kombinationssag - Bygning på fremmed grund","Kombinationssag - Bygning på fremmed grund","Sag, der indeholder forandringer af både samlet fast ejendom og bygning på fremmed grund.","","2017-08-01",""
"Regions- og kommunegrænse","Regions- og kommunegrænse","Sag vedr. registrering af regions- og/eller kommunegrænse.","","2021-07-12",""
