kode,navn,definition,kommentar,virkningFra,virkningTil
"0101","Københavns Kommune","","","2013-08-05",""
"0147","Frederiksberg Kommune","","","1990-06-29",""
"0151","Ballerup Kommune","","","1991-02-06",""
"0153","Brøndby Kommune","","","1991-01-29",""
"0155","Dragør Kommune","","","1991-06-25",""
"0157","Gentofte Kommune","","","1991-01-07",""
"0159","Gladsaxe Kommune","","","1990-06-29",""
"0161","Glostrup Kommune","","","1990-05-21",""
"0163","Herlev Kommune","","","2014-03-14",""
"0165","Albertslund Kommune","","","1990-06-29",""
"0167","Hvidovre Kommune","","","2008-05-08",""
"0169","Høje-Taastrup Kommune","","","1991-05-28",""
"0173","Lyngby-Taarbæk Kommune","","","1991-07-10",""
"0175","Rødovre Kommune","","","2010-04-13",""
"0183","Ishøj Kommune","","","1991-01-02",""
"0185","Tårnby Kommune","","","1991-04-10",""
"0187","Vallensbæk Kommune","","","1990-06-29",""
"0190","Furesø Kommune","","","2017-09-11",""
"0201","Allerød Kommune","","","1990-12-19",""
"0210","Fredensborg Kommune","","","2007-01-01",""
"0217","Helsingør Kommune","","","1990-06-29",""
"0219","Hillerød Kommune","","","2008-01-23",""
"0223","Hørsholm Kommune","","","2020-01-29",""
"0230","Rudersdal Kommune","","","2005-09-14",""
"0240","Egedal Kommune","","","2014-11-10",""
"0250","Frederikssund Kommune","","","2005-09-14",""
"0253","Greve Kommune","","","1990-09-12",""
"0259","Køge Kommune","","","1991-01-02",""
"0260","Halsnæs Kommune","","","2005-09-15",""
"0265","Roskilde Kommune","","","2015-03-19",""
"0269","Solrød Kommune","","","1991-01-04",""
"0270","Gribskov Kommune","","","2005-09-15",""
"0306","Odsherred Kommune","","","2005-09-12",""
"0320","Faxe Kommune","","","2005-09-12",""
"0326","Kalundborg Kommune","","","2014-06-10",""
"0329","Ringsted Kommune","","","2007-09-06",""
"0330","Slagelse Kommune","","","2007-03-07",""
"0336","Stevns Kommune","","","2012-03-06",""
"0340","Sorø Kommune","","","2005-09-15",""
"0350","Lejre Kommune","","","2008-08-08",""
"0360","Lolland Kommune","","","2005-09-14",""
"0370","Næstved Kommune","","","2008-02-07",""
"0376","Guldborgsund Kommune","","","2005-09-12",""
"0390","Vordingborg Kommune","","","2005-09-15",""
"0400","Bornholms Kommune","","","2001-09-14",""
"0410","Middelfart Kommune","","","2017-09-15",""
"0411","Bornholms kommune","","","1990-05-21",""
"0420","Assens Kommune","","","2011-01-06",""
"0430","Faaborg-Midtfyn Kommune","","","2005-09-12",""
"0440","Kerteminde Kommune","","","2005-09-12",""
"0450","Nyborg Kommune","","","2005-09-15",""
"0461","Odense Kommune","","","2018-05-02",""
"0479","Svendborg Kommune","","","2007-04-25",""
"0480","Nordfyns Kommune","","","2007-06-21",""
"0482","Langeland Kommune","","","2007-02-21",""
"0492","Ærø Kommune","","","2005-08-01",""
"0510","Haderslev kommune","","","2005-09-12",""
"0530","Billund Kommune","","","2007-08-08",""
"0540","Sønderborg Kommune","","","2005-09-15",""
"0550","Tønder Kommune","","","2007-01-01",""
"0561","Esbjerg Kommune","","","1990-10-01",""
"0563","Fanø Kommune","","","1991-01-02",""
"0573","Varde Kommune","","","1991-05-28",""
"0575","Vejen Kommune","","","2019-02-01",""
"0580","Aabenraa Kommune","","","2005-09-12",""
"0607","Fredericia Kommune","","","1991-05-10",""
"0615","Horsens Kommune","","","1991-01-02",""
"0621","Kolding Kommune","","","2012-09-05",""
"0630","Vejle Kommune","","","2005-09-15",""
"0657","Herning Kommune","","","2008-10-10",""
"0661","Holstebro Kommune","","","1991-01-02",""
"0665","Lemvig Kommune","","","1990-06-29",""
"0671","Struer Kommune","","","1990-06-29",""
"0706","Syddjurs Kommune","","","2015-03-11",""
"0707","Norddjurs Kommune","","","1991-08-30",""
"0710","Favrskov Kommune","","","2005-09-14",""
"0727","Odder Kommune","","","1990-06-29",""
"0730","Randers Kommune","","","2013-12-18",""
"0740","Silkeborg Kommune","","","2005-09-12",""
"0741","Samsø Kommune","","","2010-02-15",""
"0746","Skanderborg Kommune","","","2008-10-28",""
"0751","Aarhus Kommune","","","2016-12-02",""
"0756","Ikast-Brande Kommune","","","2005-09-15",""
"0760","Ringkøbing-Skjern Kommune","","","2005-09-12",""
"0766","Hedensted Kommune","","","2005-09-12",""
"0773","Morsø Kommune","","","1990-06-29",""
"0779","Skive Kommune","","","1991-01-16",""
"0787","Thisted Kommune","","","1990-06-29",""
"0791","Viborg Kommune","","","2007-01-02",""
"0810","Brønderslev Kommune","","","2007-02-28",""
"0813","Frederikshavn Kommune","","","1990-06-29",""
"0820","Vesthimmerlands Kommune","","","2005-09-14",""
"0825","Læsø Kommune","","","1990-05-21",""
"0840","Rebild Kommune","","","2015-01-13",""
"0846","Mariagerfjord Kommune","","","2007-01-30",""
"0849","Jammerbugt Kommune","","","2009-04-28",""
"0851","Aalborg Kommune","","","1991-05-28",""
"0860","Hjørring Kommune","","","2013-08-02",""
